Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=chunk, Sentence Index=0",2,chunk,0,,1128,148,13.12%
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,chunk,0,ADJP,4,0,0.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,chunk,0,ADVP,3,3,100.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0,NP,263,24,9.13%
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0,PP,506,83,16.40%
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0,SBAR,29,1,3.45%
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0,VP,323,37,11.46%
"Granularity=chunk, Sentence Index=1",2,chunk,1,,201,7,3.48%
"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,chunk,1,NP,25,2,8.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1,PP,64,2,3.12%
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1,SBAR,7,1,14.29%
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1,VP,105,2,1.90%
"Granularity=chunk, Sentence Index=2",2,chunk,2,,159,13,8.18%
"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,chunk,2,ADJP,1,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2,NP,28,1,3.57%
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2,PP,43,2,4.65%
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2,SBAR,4,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2,VP,83,10,12.05%
"Granularity=chunk, Sentence Index=3",2,chunk,3,,80,4,5.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,chunk,3,ADJP,1,0,0.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3,NP,19,0,0.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,chunk,3,PP,22,0,0.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,chunk,3,SBAR,1,0,0.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3,VP,37,4,10.81%
"Granularity=chunk, Sentence Index=4",2,chunk,4,,28,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,chunk,4,ADJP,1,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,chunk,4,ADVP,1,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,chunk,4,NP,1,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4,PP,6,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,chunk,4,SBAR,1,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4,VP,18,0,0.00%
"Granularity=chunk, Sentence Index=5",2,chunk,5,,7,0,0.00%
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5,PP,1,0,0.00%
"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,chunk,5,VP,6,0,0.00%
"Granularity=chunk, Sentence Index=6",2,chunk,6,,6,0,0.00%
"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,chunk,6,PP,1,0,0.00%
"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,chunk,6,VP,5,0,0.00%
"Granularity=chunk, Sentence Index=7",2,chunk,7,,2,1,50.00%
"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,chunk,7,VP,2,1,50.00%
"Granularity=chunk, Sentence Index=8",2,chunk,8,,1,0,0.00%
"Granularity=chunk, Sentence Index=8, Syntagm Type=VP",3,chunk,8,VP,1,0,0.00%
"Granularity=chunk, Sentence Index=9",2,chunk,9,,1,0,0.00%
"Granularity=chunk, Sentence Index=9, Syntagm Type=VP",3,chunk,9,VP,1,0,0.00%
"Granularity=chunk, Syntagm Type=ADJP",2,chunk,,ADJP,7,0,0.00%
"Granularity=chunk, Syntagm Type=ADVP",2,chunk,,ADVP,4,3,75.00%
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,336,27,8.04%
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,643,87,13.53%
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,42,2,4.76%
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,581,54,9.29%
"Granularity=clause, Sentence Index=0",2,clause,0,,55,11,20.00%
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0,SBAR,55,11,20.00%
"Granularity=clause, Sentence Index=1",2,clause,1,,9,1,11.11%
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1,SBAR,9,1,11.11%
"Granularity=clause, Sentence Index=2",2,clause,2,,7,1,14.29%
"Granularity=clause, Sentence Index=2, Syntagm Type=SBAR",3,clause,2,SBAR,7,1,14.29%
