Category,Value,Base,Result,Frequency
Syntagm Type,ADJP,50,27,54.00%
Syntagm Type,ADVP,54,14,25.93%
Syntagm Type,CONJP,1,1,100.00%
Syntagm Type,INTJ,2,0,0.00%
Syntagm Type,NP,2446,1092,44.64%
Syntagm Type,PP,657,262,39.88%
Syntagm Type,PRT,23,7,30.43%
Syntagm Type,QP,6,1,16.67%
Syntagm Type,SBAR,287,147,51.22%
Syntagm Type,VP,676,340,50.30%
Syntagm Type,WHADVP,27,23,85.19%
Syntagm Type,WHNP,91,50,54.95%
Granularity,chunk,1613,722,44.76%
Granularity,clause,72,43,59.72%
Granularity,minimal,2635,1199,45.50%
Sentence Index,0,3030,1095,36.14%
Sentence Index,1,543,307,56.54%
Sentence Index,2,420,296,70.48%
Sentence Index,3,207,156,75.36%
Sentence Index,4,66,56,84.85%
Sentence Index,5,22,22,100.00%
Sentence Index,6,18,18,100.00%
Sentence Index,7,8,8,100.00%
Sentence Index,8,3,3,100.00%
Sentence Index,9,3,3,100.00%
