Category,Value,Base,Result,Frequency
Syntagm Type,ADJP,50,0,0.00%
Syntagm Type,ADVP,54,0,0.00%
Syntagm Type,CONJP,1,0,0.00%
Syntagm Type,INTJ,2,0,0.00%
Syntagm Type,NP,2446,14,0.57%
Syntagm Type,PP,657,1,0.15%
Syntagm Type,PRT,23,0,0.00%
Syntagm Type,QP,6,0,0.00%
Syntagm Type,SBAR,287,0,0.00%
Syntagm Type,VP,676,0,0.00%
Syntagm Type,WHADVP,27,0,0.00%
Syntagm Type,WHNP,91,0,0.00%
Granularity,chunk,1613,2,0.12%
Granularity,clause,72,0,0.00%
Granularity,minimal,2635,13,0.49%
Sentence Index,0,3030,13,0.43%
Sentence Index,1,543,1,0.18%
Sentence Index,2,420,0,0.00%
Sentence Index,3,207,1,0.48%
Sentence Index,4,66,0,0.00%
Sentence Index,5,22,0,0.00%
Sentence Index,6,18,0,0.00%
Sentence Index,7,8,0,0.00%
Sentence Index,8,3,0,0.00%
Sentence Index,9,3,0,0.00%
