Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",code,NP,minimal,"Generate <language> for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",for the following,PP,chunk,"Generate <language> code : 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",the following,NP,minimal,"Generate <language> code for : 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",A decorator,NP,minimal,"Generate <language> code for the following: 
 is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",what URL should trigger our function.The function checks,SBAR,clause,"Generate <language> code for the following: 
 A decorator is used to tell if the file exists in the images folder.If the file exists it sends the file to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",what URL,WHNP,minimal,"Generate <language> code for the following: 
 A decorator is used to tell should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",should trigger our function.The function checks,VP,chunk,"Generate <language> code for the following: 
 A decorator is used to tell what URL if the file exists in the images folder.If the file exists it sends the file to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",our function.The function checks,NP,minimal,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger if the file exists in the images folder.If the file exists it sends the file to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",if the file exists in the images folder.If the file exists it sends the file to the browser,SBAR,minimal,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks ."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",the file,NP,minimal,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if exists in the images folder.If exists it sends to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",exists in the images,VP,chunk,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file folder.If the file exists it sends the file to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",in the images,PP,chunk,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists folder.If the file exists it sends the file to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",the images,NP,minimal,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in folder.If the file exists it sends the file to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",folder.If the file exists it sends the file to the browser,SBAR,minimal,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images ."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",the file,NP,minimal,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if exists in the images folder.If exists it sends to the browser."
0,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file exists in the images folder.If the file exists it sends the file to the browser.",exists,VP,minimal,"Generate <language> code for the following: 
 A decorator is used to tell what URL should trigger our function.The function checks if the file in the images folder.If the file it sends the file to the browser."
