Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=chunk, Sentence Index=0",2,chunk,0,,106,24,22.64%
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0,NP,28,7,25.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0,PP,54,13,24.07%
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0,SBAR,1,0,0.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0,VP,23,4,17.39%
"Granularity=chunk, Sentence Index=1",2,chunk,1,,16,9,56.25%
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1,PP,5,2,40.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1,SBAR,2,1,50.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1,VP,9,6,66.67%
"Granularity=chunk, Sentence Index=2",2,chunk,2,,12,8,66.67%
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2,NP,1,1,100.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2,PP,1,1,100.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2,SBAR,1,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2,VP,9,6,66.67%
"Granularity=chunk, Sentence Index=3",2,chunk,3,,5,4,80.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3,NP,3,3,100.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3,VP,2,1,50.00%
"Granularity=chunk, Sentence Index=4",2,chunk,4,,2,1,50.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4,PP,1,1,100.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4,VP,1,0,0.00%
"Granularity=chunk, Sentence Index=5",2,chunk,5,,1,1,100.00%
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5,PP,1,1,100.00%
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,32,11,34.38%
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,62,18,29.03%
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,4,1,25.00%
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,44,17,38.64%
"Granularity=clause, Sentence Index=0",2,clause,0,,1,1,100.00%
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0,SBAR,1,1,100.00%
"Granularity=clause, Sentence Index=1",2,clause,1,,2,1,50.00%
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1,SBAR,2,1,50.00%
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,3,2,66.67%
"Granularity=minimal, Sentence Index=0",2,minimal,0,,142,42,29.58%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0,ADJP,2,1,50.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0,ADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0,NP,112,31,27.68%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0,PP,2,1,50.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0,PRT,1,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0,QP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0,SBAR,8,3,37.50%
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0,VP,6,2,33.33%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0,WHADVP,2,1,50.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0,WHNP,5,3,60.00%
"Granularity=minimal, Sentence Index=1",2,minimal,1,,23,12,52.17%
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1,ADJP,1,0,0.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1,NP,19,10,52.63%
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1,SBAR,3,2,66.67%
"Granularity=minimal, Sentence Index=2",2,minimal,2,,29,20,68.97%
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2,ADVP,2,1,50.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2,NP,18,13,72.22%
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2,SBAR,3,3,100.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2,VP,4,3,75.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2,WHADVP,1,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2,WHNP,1,0,0.00%
